epoch,accuracy,loss,val_accuracy,val_loss
0,0.014522221870720387,5.377599716186523,0.10970000177621841,4.591328144073486
1,0.049444444477558136,4.68929386138916,0.16769999265670776,3.8605105876922607
2,0.0843999981880188,4.243190288543701,0.21220000088214874,3.5049219131469727
3,0.11403333395719528,3.9771950244903564,0.23749999701976776,3.3207976818084717
4,0.14116667211055756,3.7917773723602295,0.25999999046325684,3.190753221511841
5,0.16513332724571228,3.623448371887207,0.2784999907016754,3.094350576400757
6,0.1868666708469391,3.4880447387695312,0.2870999872684479,3.030613660812378
7,0.208688884973526,3.364823579788208,0.30469998717308044,2.9648802280426025
8,0.22554443776607513,3.2540833950042725,0.3111000061035156,2.926406145095825
9,0.24443332850933075,3.1404170989990234,0.3222000002861023,2.889488458633423
10,0.26275554299354553,3.040153741836548,0.3246000111103058,2.8801286220550537
11,0.27977776527404785,2.9384419918060303,0.3264999985694885,2.8625779151916504
12,0.29828888177871704,2.8381779193878174,0.3366999924182892,2.8604135513305664
13,0.31101110577583313,2.7467947006225586,0.3343999981880188,2.8587684631347656
14,0.3294000029563904,2.658129930496216,0.3330000042915344,2.878516674041748
15,0.3430333435535431,2.5825343132019043,0.3278999924659729,2.8869824409484863
16,0.3590666651725769,2.4908535480499268,0.33799999952316284,2.898758888244629
17,0.3706222176551819,2.421393632888794,0.3352000117301941,2.911942720413208
18,0.3835444450378418,2.342393636703491,0.3319999873638153,2.94433331489563
19,0.41627776622772217,2.1810226440429688,0.3357999920845032,2.9357213973999023
20,0.4268888831138611,2.120309591293335,0.3375999927520752,2.9432313442230225
21,0.4384111166000366,2.072727918624878,0.33719998598098755,2.953876256942749
22,0.4413444399833679,2.0410900115966797,0.3384000062942505,2.9647719860076904
23,0.4521777629852295,2.0037131309509277,0.3386000096797943,2.978945732116699
24,0.45561110973358154,1.9787073135375977,0.3393999934196472,2.9795567989349365
25,0.4569111168384552,1.9720209836959839,0.3402000069618225,2.98333740234375
26,0.4598666727542877,1.9672530889511108,0.3384999930858612,2.9835104942321777
27,0.4589666724205017,1.9622191190719604,0.33869999647140503,2.986017942428589
28,0.4589666724205017,1.963965654373169,0.33730000257492065,2.9896607398986816
